_id,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,geometry
449,GO-20103577964,1274068800000,2010,May,17,Monday,137,D12,Shooting,112,Beechborough-Greenbrook (112),112,Beechborough-Greenbrook (112),-79.47036608939655,43.69122388380354,"{""coordinates"": [[-79.470366089, 43.6912238840001]], ""type"": ""MultiPoint""}"
450,GO-20103801763,1274760000000,2010,May,25,Tuesday,145,D43,Other,135,Morningside (135),135,Morningside (135),-79.20677562499682,43.76679499640064,"{""coordinates"": [[-79.206775625, 43.766794996]], ""type"": ""MultiPoint""}"
451,GO-20103795155,1275105600000,2010,May,29,Saturday,149,D31,Other,025,Glenfield-Jane Heights (25),025,Glenfield-Jane Heights (25),-79.51320988965858,43.739384543601766,"{""coordinates"": [[-79.51320989, 43.7393845440001]], ""type"": ""MultiPoint""}"
452,GO-20103568162,1275105600000,2010,May,29,Saturday,149,D11,Stabbing,087,High Park-Swansea (87),087,High Park-Swansea (87),-79.47454581585579,43.63996092369762,"{""coordinates"": [[-79.474545816, 43.639960924]], ""type"": ""MultiPoint""}"
453,GO-20103746928,1275278400000,2010,May,31,Monday,151,D12,Other,030,Brookhaven-Amesbury (30),030,Brookhaven-Amesbury (30),-79.50287885126122,43.69954865941787,"{""coordinates"": [[-79.5028788509999, 43.6995486590001]], ""type"": ""MultiPoint""}"
454,GO-20103844704,1276315200000,2010,June,12,Saturday,163,D13,Stabbing,096,Casa Loma (96),096,Casa Loma (96),-79.41583923788588,43.680043623164266,"{""coordinates"": [[-79.415839238, 43.6800436230001]], ""type"": ""MultiPoint""}"
455,GO-20103711024,1276315200000,2010,June,12,Saturday,163,D22,Other,018,New Toronto (18),018,New Toronto (18),-79.51183767870604,43.59932271725473,"{""coordinates"": [[-79.5118376789999, 43.5993227170001]], ""type"": ""MultiPoint""}"
456,GO-20103786264,1277784000000,2010,June,29,Tuesday,180,D23,Stabbing,006,Kingsview Village-The Westway (6),006,Kingsview Village-The Westway (6),-79.5586388586282,43.6942459837147,"{""coordinates"": [[-79.558638859, 43.6942459840001]], ""type"": ""MultiPoint""}"
457,GO-20103773164,1277870400000,2010,June,30,Wednesday,181,D12,Stabbing,111,Rockcliffe-Smythe (111),111,Rockcliffe-Smythe (111),-79.50593089404381,43.67609761976603,"{""coordinates"": [[-79.505930894, 43.6760976200001]], ""type"": ""MultiPoint""}"
458,GO-20103776066,1278043200000,2010,July,2,Friday,183,D31,Shooting,155,Downsview (155),026,Downsview-Roding-CFB (26),-79.4864081970644,43.74479562250571,"{""coordinates"": [[-79.4864081969999, 43.7447956230001]], ""type"": ""MultiPoint""}"
459,GO-20103771858,1278043200000,2010,July,2,Friday,183,D53,Stabbing,095,Annex (95),095,Annex (95),-79.40200554022768,43.66838911093921,"{""coordinates"": [[-79.4020055399999, 43.6683891110001]], ""type"": ""MultiPoint""}"
460,GO-20103757791,1278388800000,2010,July,6,Tuesday,187,D41,Shooting,156,Bendale-Glen Andrew (156),127,Bendale (127),-79.26665334023997,43.755894865741894,"{""coordinates"": [[-79.2666533399999, 43.7558948660001]], ""type"": ""MultiPoint""}"
461,GO-20102896399,1278648000000,2010,July,9,Friday,190,D41,Other,119,Wexford/Maryvale (119),119,Wexford/Maryvale (119),-79.30844997105028,43.7387938353503,"{""coordinates"": [[-79.308449971, 43.7387938350001]], ""type"": ""MultiPoint""}"
462,GO-20103360930,1278734400000,2010,July,10,Saturday,191,D52,Shooting,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),-79.39788743549241,43.65225919192444,"{""coordinates"": [[-79.397887435, 43.652259192]], ""type"": ""MultiPoint""}"
463,GO-20103587228,1278993600000,2010,July,13,Tuesday,194,D54,Shooting,044,Flemingdon Park (44),044,Flemingdon Park (44),-79.32964193272007,43.71530756444098,"{""coordinates"": [[-79.3296419329999, 43.715307564]], ""type"": ""MultiPoint""}"
464,GO-20103831826,1279080000000,2010,July,14,Wednesday,195,D41,Stabbing,156,Bendale-Glen Andrew (156),127,Bendale (127),-79.2467470734873,43.755258977668895,"{""coordinates"": [[-79.2467470729999, 43.755258978]], ""type"": ""MultiPoint""}"
465,GO-20103686077,1279252800000,2010,July,16,Friday,197,D42,Shooting,128,Agincourt South-Malvern West (128),128,Agincourt South-Malvern West (128),-79.25910582883319,43.787402065124205,"{""coordinates"": [[-79.259105829, 43.787402065]], ""type"": ""MultiPoint""}"
466,GO-20103520868,1280462400000,2010,July,30,Friday,211,D31,Shooting,025,Glenfield-Jane Heights (25),025,Glenfield-Jane Heights (25),-79.50685759195724,43.74031864174934,"{""coordinates"": [[-79.506857592, 43.740318642]], ""type"": ""MultiPoint""}"
467,GO-20103804848,1280462400000,2010,July,30,Friday,211,D23,Shooting,001,West Humber-Clairville (1),001,West Humber-Clairville (1),-79.61151278106236,43.732113213511276,"{""coordinates"": [[-79.611512781, 43.732113214]], ""type"": ""MultiPoint""}"
468,GO-20103883110,1280548800000,2010,July,31,Saturday,212,D54,Stabbing,044,Flemingdon Park (44),044,Flemingdon Park (44),-79.33494772634278,43.71872655239281,"{""coordinates"": [[-79.3349477259999, 43.7187265520001]], ""type"": ""MultiPoint""}"
469,GO-20103561930,1281240000000,2010,August,8,Sunday,220,D51,Other,071,Cabbagetown-South St.James Town (71),071,Cabbagetown-South St.James Town (71),-79.36862085776369,43.665873504977164,"{""coordinates"": [[-79.368620858, 43.665873505]], ""type"": ""MultiPoint""}"
470,GO-20103577793,1281758400000,2010,August,14,Saturday,226,D51,Shooting,074,North St.James Town (74),074,North St.James Town (74),-79.37575275526954,43.66966190876556,"{""coordinates"": [[-79.375752755, 43.6696619090001]], ""type"": ""MultiPoint""}"
471,GO-20103436989,1281758400000,2010,August,14,Saturday,226,D22,Shooting,159,Etobicoke City Centre (159),014,Islington-City Centre West (14),-79.53078859553305,43.644650073693356,"{""coordinates"": [[-79.530788596, 43.644650074]], ""type"": ""MultiPoint""}"
472,GO-20103773675,1282622400000,2010,August,24,Tuesday,236,D32,Shooting,032,Englemount-Lawrence (32),032,Englemount-Lawrence (32),-79.43961635874767,43.72430405631481,"{""coordinates"": [[-79.439616359, 43.7243040560001]], ""type"": ""MultiPoint""}"
473,GO-20103412926,1282881600000,2010,August,27,Friday,239,D14,Stabbing,083,Dufferin Grove (83),083,Dufferin Grove (83),-79.44017691993977,43.65143090162551,"{""coordinates"": [[-79.4401769199999, 43.6514309020001]], ""type"": ""MultiPoint""}"
474,GO-20103793509,1283054400000,2010,August,29,Sunday,241,D51,Other,090,Junction Area (90),090,Junction Area (90),-79.47356272330902,43.666326660474006,"{""coordinates"": [[-79.473562723, 43.66632666]], ""type"": ""MultiPoint""}"
475,GO-2018104863,1283745600000,2010,September,6,Monday,249,D52,Other,055,Thorncliffe Park (55),055,Thorncliffe Park (55),-79.34134032366961,43.70795197899424,"{""coordinates"": [[-79.341340324, 43.707951979]], ""type"": ""MultiPoint""}"
476,GO-20103528531,1284091200000,2010,September,10,Friday,253,D43,Shooting,142,Woburn North (142),137,Woburn (137),-79.23203375108395,43.75933219884877,"{""coordinates"": [[-79.232033751, 43.759332199]], ""type"": ""MultiPoint""}"
477,GO-20103836758,1284264000000,2010,September,12,Sunday,255,D31,Shooting,024,Black Creek (24),024,Black Creek (24),-79.51881141299563,43.76191258672315,"{""coordinates"": [[-79.518811413, 43.761912587]], ""type"": ""MultiPoint""}"
478,GO-20103912797,1284264000000,2010,September,12,Sunday,255,D12,Other,030,Brookhaven-Amesbury (30),030,Brookhaven-Amesbury (30),-79.49015206607174,43.69643696998522,"{""coordinates"": [[-79.490152066, 43.69643697]], ""type"": ""MultiPoint""}"
479,GO-20103905801,1285387200000,2010,September,25,Saturday,268,D23,Stabbing,008,Humber Heights-Westmount (8),008,Humber Heights-Westmount (8),-79.51313348050705,43.68684309052943,"{""coordinates"": [[-79.513133481, 43.6868430910001]], ""type"": ""MultiPoint""}"
480,GO-20103708472,1285732800000,2010,September,29,Wednesday,272,D12,Shooting,113,Weston (113),113,Weston (113),-79.51130865566778,43.698379065558946,"{""coordinates"": [[-79.511308656, 43.698379066]], ""type"": ""MultiPoint""}"
